Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT
Bà Rịa	13	Phường	52265	15.55	3361.09	Phường Phước Trung, Phường Phước Nguyên, Phường Long Toàn, Phường Phước Hưng (TP. Bà Rịa)		phường Long Hương, phường Tam Long, phường Phước Thắng và xã Long Điền	Số 221 Cách mạng Tháng Tám, phường Bà Rịa	10.4986991	107.1679951	02543711781
Tam Long	117	Phường	41130	34.7	1185.3	Phường Long Tâm (TP. Bà Rịa), Xã Hoà Long (TP. Bà Rịa), Xã Long Phước (TP. Bà Rịa)		phường Long Hương, phường Bà Rịa, xã Long Điền, xã Đất Đỏ và xã Nghĩa Thành	Tỉnh lộ 52, Ấp Đông, phường Tam Long	10.5217661	107.2078319	02543751844
Côn Đảo	54	Đặc khu	6502	75.79	85.79	Huyện Côn Đảo		không	Số 28, Tôn Đức Thắng, Đặc Khu Côn Đảo	8.682211	106.6072676	02543830176
Ngãi Giao	92	Xã	49065	69.3	708.01	Thị trấn Ngãi Giao, Xã Bình Ba, Xã Suối Nghệ (H. Châu Đức)		xã Bình Giã, xã Kim Long, phường Tân Thành, xã Châu Pha và xã Nghĩa Thành	Số 70 Trần Hưng Đạo, xã Ngãi Giao	10.6552529	107.243237	02543881125
Nghĩa Thành	93	Xã	27819	65.67	423.63	Xã Đá Bạc (H. Châu Đức), Xã Nghĩa Thành (H. Châu Đức)		phường Long Hương, phường Tam Long, xã Đất Đỏ, xã Xuân Sơn, xã Bình Giã, xã Ngãi Giao và xã Châu Pha	Tổ 6 thôn Sông Cầu, xã Nghĩa Thành	10.56784935	107.2115274	02543881204
Châu Đức	50	Xã	28240	84.66	333.57	Xã Cù Bị (H. Châu Đức), Xã Xà Bang (H. Châu Đức)		xã Bình Giã, xã Kim Long, phường Tân Thành và tỉnh Đồng Nai	Ấp Liên Lộc, xã Châu Đức	10.72775389	107.237226	02543885121
Xuân Sơn	166	Xã	27368	73.81	370.79	Xã Suối Rao (H. Châu Đức), Xã Xuân Sơn (H. Châu Đức), Xã Sơn Bình (H. Châu Đức)		xã Bình Giã, xã Nghĩa Thành, xã Đất Đỏ, xã Hồ Tràm, xã Hoà Hội và xã Bàu Lâm	Tổ 11, thôn Xuân Tân, xã Xuân Sơn	10.64703063	107.3291156	02543887279
Bình Giã	26	Xã	34262	66.96	511.68	Xã Bình Trung (H. Châu Đức), Xã Bình Giã (H. Châu Đức), Xã Quảng Thành (H. Châu Đức)		xã Châu Đức, xã Kim Long, xã Ngãi Giao, xã Nghĩa Thành, xã Xuân Sơn và tỉnh Đồng Nai	Đường Mỹ xuân-Hoà bình, tổ 1, ấp Vĩnh Bình, xã Bình Giã	10.6452347	107.2551454	02543968533
Kim Long	78	Xã	33369	63.92	522.04	Thị trấn Kim Long, Xã Bàu Chinh, Xã Láng Lớn (H. Châu Đức)		xã Bình Giã, xã Châu Đức, phường Tân Thành và xã Ngãi Giao	Tổ 19, xã Kim Long	10.7022771	107.2440799	02543985120
Bến Cát	19	Phường	97928	100.89	970.64	Xã Lai Hưng (H. Bàu Bàng), Xã Tân Hưng (H. Bàu Bàng)	Phường Mỹ Phước (TP. Bến Cát)	phường Chánh Phú Hoà, phường Long Nguyên, phường Thới Hoà, xã Bàu Bàng và xã An Long	Đường 30 Tháng 4, phường Bến Cát	11.15205817	106.5935413	02743559732
Long Nguyên	86	Phường	53387	108	494.32	Xã Long Nguyên (H. Bàu Bàng), Phường An Điền (TP. Bến Cát)	Phường Mỹ Phước (TP. Bến Cát)	phường Bến Cát, phường Thới Hoà, phường Tây Nam, phường Phú An, xã Long Hoà, xã Bàu Bàng và xã Thanh An	Đường An Điền 151, phường Long Nguyên	11.1480806	106.5591974	02743564445
Tân Hiệp	124	Phường	142494	47.06	3028	Phường Khánh Bình (TP. Tân Uyên), Phường Tân Hiệp (TP. Tân Uyên)		phường Tân Uyên, phường Bình Dương, phường Vĩnh Tân, phường Tân Khánh và phường Bình Cơ	Đường Nguyễn Khuyến, phường Tân Hiệp	10.9656045	106.866728	02743655456
Vườn Lài	163	Phường	104076	1.28	81309.38	Phường 1 (Quận 10), Phường 2 (Quận 10), Phường 4 (Quận 10), Phường 9 (Quận 10), Phường 10 (Quận 10)		phường Diên Hồng, phường Hoà Hưng, phường Bàn Cờ, phường Chợ Quán và phường An Đông	Số 168 Hùng Vương, phường Vườn Lài	10.76155	106.669813	02838359477
